timestamp,frame,range_bin,I,Q,phase,heart_rate_bpm
0.0736544132232666,1,12,580,-934,-1.0150894060078797,74.1
0.1346843242645263,2,12,-576,-870,-2.155609148497398,74.1
0.1796679496765136,3,12,-849,-659,-2.481528756500499,82.3
0.2249288558959961,4,12,-967,-154,-2.983663461220541,81.5
0.2848498821258545,5,9,-738,588,2.468837806073574,80.6
0.3294188976287842,6,9,-650,609,2.388748513646864,79.9
0.374941349029541,7,9,-698,779,2.3014084759199256,79.2
0.4348907470703125,8,9,-1143,474,2.7484800104935654,78.3
0.4789381027221679,9,10,664,1147,1.046034922949017,77.7
0.5247359275817871,10,10,273,1177,1.3428808538949255,77.0
0.5850286483764648,11,11,773,-388,-0.4651987970017447,76.2
0.6297619342803955,12,8,8,849,1.5613737552530984,75.6
0.6733565330505371,13,1,39,711,1.5159989198217811,75.0
0.7344913482666016,14,1,-175,879,1.7673166133453182,74.2
0.7796196937561035,15,1,1085,461,0.4017730617117033,74.1
0.8243865966796875,16,1,211,947,1.3515684094867175,74.1
0.8848085403442383,17,1,-255,966,1.8288842170719195,74.1
0.9308617115020752,18,1,-189,1371,1.7077884544558304,74.1
0.9742693901062012,19,1,507,1556,1.2558089543031232,74.1
1.034524917602539,20,1,1565,9,0.0057507353270995,74.1
1.07843017578125,21,1,1258,-925,-0.634022719663422,74.1
1.123509168624878,22,0,-627,1114,2.083441465286453,74.1
1.184587478637695,23,0,-663,1058,2.1305841974833584,74.1
1.2287170886993408,24,0,-431,1240,1.905314195146242,78.0
1.2740132808685305,25,11,-716,-762,-2.3250813941193464,77.4
1.3338849544525146,26,1,620,923,0.9793015947638832,76.7
1.3789293766021729,27,1,801,1030,0.9098203757971702,76.1
1.4237375259399414,28,1,99,1249,1.4916982888881714,75.6
1.484287977218628,29,11,-1313,642,2.686818740677933,74.9
1.5288074016571045,30,11,-1575,288,2.960733623718914,74.4
1.5745460987091064,31,11,-1443,981,2.5445297352600464,74.1
1.6341452598571775,32,11,-8,1865,1.575085844721636,74.1
1.6781461238861084,33,12,998,-1565,-1.0031167356060298,81.8
1.7236475944519043,34,12,-762,-1829,-1.9655486236047015,81.2
1.7848641872406006,35,12,-1881,156,3.05884740900906,80.5
1.8285307884216309,36,12,-1396,1284,2.397961231197422,79.9
1.874002456665039,37,12,200,1935,1.467802878370707,79.4
1.9348373413085935,38,12,670,1883,1.2289503610581949,78.7
1.9796743392944336,39,0,2323,829,0.3427784881115627,78.2
2.024421453475952,40,0,2346,73,0.0311067573780895,77.7
2.085202217102051,41,0,1132,-1087,-0.7651215375715661,85.6
2.1297972202301025,42,11,1546,-322,-0.2053437282919469,85.0
2.174063444137573,43,11,1658,417,0.2463973031171513,84.5
2.2339444160461426,44,11,-1211,1163,2.3764107752180146,83.8
2.2785685062408447,45,11,-1289,1376,2.3235606763841736,83.3
2.324182510375977,46,11,-32,2015,1.5866758852286955,82.8
2.3835158348083496,47,11,1823,1241,0.5976866172517349,82.1
2.428643226623535,48,11,2023,-700,-0.3331254515757455,81.6
2.4743924140930176,49,0,-1606,901,2.630327286874517,81.1
2.533933401107788,50,11,-1528,459,2.849775650206331,80.4
2.5798048973083496,51,11,1846,780,0.3997810982427968,79.9
2.624960422515869,52,11,1147,912,0.671756830863928,79.5
2.684589385986328,53,10,1068,556,0.4799908788475212,86.7
2.729576349258423,54,1,-330,2106,1.7262275868108967,86.2
2.7745490074157715,55,13,-227,755,1.8628605808019807,85.7
2.834338426589966,56,11,-661,-1448,-1.999035631555665,85.0
2.879891157150269,57,0,764,-1460,-1.0886926160214798,84.5
2.92392373085022,58,0,-10,830,1.5828439366490823,84.1
2.984415054321289,59,1,1376,153,0.1107369850725858,83.4
3.029647827148437,60,0,-1354,-1007,-2.502121391418564,83.0
3.07350754737854,61,12,-1278,534,2.745801867445291,82.5
3.1344237327575684,62,11,-976,-1272,-2.2252750385169646,89.3
3.179823875427246,63,10,-385,1870,1.7738415440483617,88.8
3.2237260341644287,64,0,-1163,624,2.6491394551731986,88.3
3.284674406051636,65,0,560,-1077,-1.0913062702941794,87.7
3.330007791519165,66,13,-812,963,2.2713283987026456,87.2
3.3747434616088867,67,1,-58,1015,1.6278771092011612,86.7
3.434908628463745,68,10,-1004,54,3.0878595663488864,86.1
3.4790563583374023,69,12,-451,-2423,-1.7548232735959852,85.7
3.5237319469451904,70,12,1389,-1092,-0.666255333118014,85.2
3.5840208530426025,71,14,593,629,0.8148495470227323,91.7
3.62963604927063,72,17,861,621,0.624848665118312,91.2
3.6744225025177,73,0,-953,510,2.650220362293984,90.7
3.7350010871887207,74,12,-1466,1053,2.518702612141739,90.1
3.778951406478882,75,0,-164,-1060,-1.7242962362155407,89.6
3.824449777603149,76,0,1388,-664,-0.4462075169251038,89.1
3.8852405548095694,77,0,-642,1443,1.989406384416712,88.5
3.930081844329834,78,11,-408,-910,-1.9922786371091328,88.1
3.9740803241729736,79,11,76,1097,1.501626995332933,87.6
4.034934997558594,80,0,-2032,709,2.8058826827074697,87.0
4.0787353515625,81,0,-1309,525,2.7601646177522223,86.6
4.124905824661255,82,0,-1514,48,3.109899174529146,86.2
4.184794664382935,83,16,1079,55,0.0509290448277843,92.2
4.229725122451782,84,11,-1353,-152,-3.0297187893305786,91.7
4.274204015731812,85,11,-1103,-989,-2.410633954266609,91.3
4.334421157836914,86,11,983,865,0.7216319177148971,90.7
4.378634214401245,87,12,108,1080,1.4711276743037347,90.3
4.424674987792969,88,0,-594,1251,2.01409790653826,89.8
4.484675407409668,89,0,1153,570,0.4591274728871712,89.3
4.529527902603149,90,0,271,-1026,-1.3125612973847365,88.8
4.573695421218872,91,0,-747,-209,-2.868782579957218,88.4
4.634955167770386,92,9,-621,-643,-2.338791184123229,87.9
4.679039239883423,93,12,619,-756,-0.8847067669375093,87.5
4.72381591796875,94,11,-424,916,2.0043112151154303,87.0
4.784517526626587,95,10,1541,-689,-0.4204498898145085,86.5
4.829259634017944,96,10,2028,233,0.1143899601261748,86.1
4.873525619506836,97,11,97,-1389,-1.5010751063937622,85.7
4.934903383255005,98,11,-173,-1047,-1.7345507371037052,85.2
4.978784799575806,99,11,-638,-951,-2.161705194865227,84.8
5.02577018737793,100,10,1141,651,0.5184851758100478,84.4
5.085039138793945,101,10,1343,872,0.5758777863458995,90.0
5.129905223846436,102,10,938,1578,1.0344874162270237,90.0
5.174708843231201,103,10,6,1938,1.567700361454347,90.0
5.2348105907440186,104,10,289,2077,1.4325410149260016,90.0
5.280681133270264,105,10,-342,2066,1.7348459310141362,90.0
5.324010610580444,106,10,195,2314,1.4867252950814214,90.0
5.384389162063599,107,10,759,2315,1.2539782349929838,90.0
5.428791999816895,108,10,1228,2207,1.0630440517769404,90.0
5.474003791809082,109,10,1251,2194,1.0525833229739503,90.0
