timestamp,frame,range_bin,I,Q,phase,heart_rate_bpm
0.0695662498474121,1,0,-1079,-4731,-1.7950310779039929,72.0
0.1289107799530029,2,3,1043,5819,1.3934392285038744,71.2
0.1735231876373291,3,0,902,2705,1.248934870768455,70.5
0.218658447265625,4,4,-2603,-2449,-2.3866680307767685,69.9
0.2793221473693847,5,1,-700,-6094,-1.6851621688517866,80.6
0.3240649700164795,6,1,-2122,-6315,-1.894967724233822,79.9
0.3694517612457275,7,1,-9301,-6962,-2.49903835119288,79.2
0.4289684295654297,8,0,11261,-887,-0.0786051320188986,78.4
0.473879337310791,9,0,6811,-992,-0.1446297934918466,77.7
0.5182464122772217,10,0,10025,-2695,-0.262619081017946,77.1
0.5787701606750488,11,0,11322,-3612,-0.3088181762556982,76.2
0.6238994598388672,12,0,10793,-5269,-0.4541524558997194,75.6
0.6682338714599609,13,1,-8874,-2241,-2.89422906772492,75.0
0.7288286685943604,14,0,1931,-6786,-1.2935674562599049,74.2
0.7731845378875732,15,4,-259,4733,1.625463966141675,84.2
0.8183090686798096,16,3,-1883,-1979,-2.33134202138356,83.5
0.8787028789520264,17,0,1568,3177,1.1123241323281516,82.6
0.923914670944214,18,1,-380,-3944,-1.666848721820258,82.0
0.968472957611084,19,1,-2578,-3260,-2.2399007737722183,81.4
1.0285661220550537,20,1,-2261,-2266,-2.3550900064355837,80.6
1.0738747119903564,21,0,2153,-1513,-0.6125627669061828,79.9
1.118321657180786,22,2,1220,-2638,-1.1376195793953443,79.4
1.1783692836761477,23,1,3767,2748,0.6302469090083902,78.6
1.224092960357666,24,0,854,-7595,-1.4588242484845269,78.0
1.2690391540527344,25,1,-9688,135,3.127658790767444,77.4
1.3284029960632324,26,1,3705,-5339,-0.964142196189526,76.7
1.3738458156585691,27,1,-3429,5415,2.1352998156559955,76.1
1.4181971549987793,28,0,4383,615,0.1394047284763518,75.6
1.4786341190338137,29,1,6775,-4679,-0.6044078291047783,74.9
1.5236027240753174,30,1,4463,10958,1.1840278681870051,74.4
1.568361759185791,31,0,-7720,590,3.0653160569798605,73.9
1.6287462711334229,32,1,-5305,6937,2.223664360401901,82.3
1.6731281280517578,33,1,-3886,4067,2.3334397109229497,81.8
1.7181529998779297,34,1,-7214,27,3.137849948581571,81.2
1.778200626373291,35,4,5023,-2630,-0.4823421806230102,80.5
1.8229963779449463,36,3,5,-2817,-1.5690213907816428,80.0
1.8680508136749268,37,2,3159,-1125,-0.3421212506496403,79.4
1.928741455078125,38,1,-3473,4123,2.270831088152783,78.7
1.9732601642608645,39,2,5238,6733,0.9096400625230002,78.2
2.018134593963623,40,2,4676,-6643,-0.9574584807268178,77.7
2.078191041946411,41,2,4583,-5319,-0.8595901527734132,85.6
2.123276233673096,42,1,-7566,8144,2.319419225378153,85.1
2.168191909790039,43,1,-10964,4653,2.740239719432849,84.5
2.228804349899292,44,1,-1604,10487,1.7225713478716784,83.8
2.273177146911621,45,1,8671,6050,0.6091995437554005,83.3
2.3184573650360107,46,1,9391,2977,0.3069843724802915,82.8
2.3787996768951416,47,1,5693,6179,0.8263119766920569,82.1
2.423691749572754,48,1,5044,6149,0.8838017216814069,81.6
2.4685587882995605,49,1,-1635,6212,1.828159660475504,81.1
2.5282342433929443,50,1,-6018,4059,2.548202665208306,80.4
