timestamp,frame,range_bin,I,Q,phase
0.07889914512634277,1,11,143,-1405,-1.4693662444337492
0.12304878234863281,2,12,1758,450,0.25059207649940324
0.1839444637298584,3,0,1303,645,0.4596488607049038
0.227830171585083,4,0,-1417,1378,2.3701470730895724
0.27416348457336426,5,10,-237,-1544,-1.7231049562838463
0.33363771438598633,6,0,-220,2064,1.6769845417556197
0.3778254985809326,7,11,1718,-530,-0.2992350073508458
0.42383813858032227,8,15,-742,-1452,-2.0432204520798245
0.4843721389770508,9,10,-1121,1262,2.297094280990188
0.5277676582336426,10,10,-1839,836,2.7149241919677127
0.5732159614562988,11,10,-2041,116,3.08481884649028
0.6336913108825684,12,10,-1533,-1723,-2.297906781662299
0.6790661811828613,13,10,-1990,441,2.9235090631194085
0.7232882976531982,14,10,-1309,539,2.7509856098921066
0.7834322452545166,15,14,-188,1370,1.7071708357838322
0.8284692764282227,16,10,-1026,1647,2.1279207169542924
0.8736310005187988,17,10,-1130,1744,2.1457190569812687
0.9338815212249756,18,10,-640,1855,1.9030219210909678
0.9778494834899902,19,0,-1925,1238,2.5700714081381575
1.0234465599060059,20,0,-133,2250,1.629838734709766
1.0834121704101562,21,0,1579,907,0.5213939137439245
1.1276092529296875,22,0,604,1914,1.2651175053998789
1.1737494468688965,23,0,1577,-44,-0.027893841323859317
1.2326111793518066,24,0,1096,-771,-0.6130491246042264
1.2779886722564697,25,9,305,-924,-1.2519706909340165
1.3232896327972412,26,9,-1140,-21,-3.1231736841711566
1.384275197982788,27,0,-1792,-757,-2.7418982555375195
1.427643060684204,28,0,1864,-630,-0.32592925074296114
1.4736571311950684,29,12,1604,395,0.24145496606793154
1.5336284637451172,30,12,755,-1368,-1.0664951048435432
1.5778491497039795,31,12,881,-1215,-0.9434207027264946
1.6233997344970703,32,11,-559,1836,1.8663455274326983
1.6834132671356201,33,11,523,1719,1.2754480865303972
1.7277274131774902,34,11,2068,279,0.1341032442693268
1.7731091976165771,35,11,2257,166,0.07341676778980537
1.8339543342590332,36,11,1555,-1892,-0.8828546208016381
1.8778715133666992,37,11,-583,-2336,-1.8153720484708171
1.9236440658569336,38,11,453,-2043,-1.3525938713240626
1.9839396476745605,39,11,1440,-1420,-0.7784052703921149
2.02841854095459,40,11,1407,-1876,-0.9272952180016122
2.0737290382385254,41,11,1061,-2051,-1.0933978898015435
2.1342334747314453,42,11,2149,-475,-0.21753543889303545
2.178128957748413,43,0,1700,985,0.5251435170864204
2.223010540008545,44,0,-860,1570,2.0719263724873644
2.284119129180908,45,11,179,1303,1.4342755644764416
2.328451156616211,46,9,-277,-1375,-1.7695900960244428
2.3734192848205566,47,11,1562,447,0.27872238471547417
2.4344496726989746,48,11,1365,-1482,-0.8264709419879024
2.47875714302063,49,11,-513,-2240,-1.795931717040001
2.5236310958862305,50,11,-998,-2229,-1.9917645899523964
2.583582878112793,51,11,252,-2434,-1.4676306163408537
2.6278553009033203,52,11,1197,-2006,-1.0327995513928552
2.673786163330078,53,11,1188,-2073,-1.0504043013413114
2.7336699962615967,54,11,1706,-1241,-0.6289008378892278
2.7792110443115234,55,0,-966,1968,2.0271001265710464
