timestamp,frame,range_bin,I,Q,phase
0.06956624984741211,1,0,-1079,-4731,-1.7950310779039929
0.12891077995300293,2,3,1043,5819,1.3934392285038744
0.1735231876373291,3,0,902,2705,1.248934870768455
0.218658447265625,4,4,-2603,-2449,-2.3866680307767685
0.27932214736938477,5,1,-700,-6094,-1.6851621688517866
0.3240649700164795,6,1,-2122,-6315,-1.894967724233822
0.36945176124572754,7,1,-9301,-6962,-2.49903835119288
0.4289684295654297,8,0,11261,-887,-0.07860513201889865
0.473879337310791,9,0,6811,-992,-0.1446297934918466
0.5182464122772217,10,0,10025,-2695,-0.262619081017946
0.5787701606750488,11,0,11322,-3612,-0.3088181762556982
0.6238994598388672,12,0,10793,-5269,-0.4541524558997194
0.6682338714599609,13,1,-8874,-2241,-2.89422906772492
0.7288286685943604,14,0,1931,-6786,-1.2935674562599049
0.7731845378875732,15,4,-259,4733,1.625463966141675
0.8183090686798096,16,3,-1883,-1979,-2.33134202138356
0.8787028789520264,17,0,1568,3177,1.1123241323281516
0.9239146709442139,18,1,-380,-3944,-1.666848721820258
0.968472957611084,19,1,-2578,-3260,-2.2399007737722183
1.0285661220550537,20,1,-2261,-2266,-2.3550900064355833
1.0738747119903564,21,0,2153,-1513,-0.6125627669061828
1.1183216571807861,22,2,1220,-2638,-1.1376195793953443
1.1783692836761475,23,1,3767,2748,0.6302469090083902
1.224092960357666,24,0,854,-7595,-1.4588242484845269
1.2690391540527344,25,1,-9688,135,3.127658790767444
1.3284029960632324,26,1,3705,-5339,-0.9641421961895261
1.3738458156585693,27,1,-3429,5415,2.1352998156559955
1.4181971549987793,28,0,4383,615,0.13940472847635188
1.4786341190338135,29,1,6775,-4679,-0.6044078291047783
1.5236027240753174,30,1,4463,10958,1.1840278681870053
1.568361759185791,31,0,-7720,590,3.0653160569798605
1.6287462711334229,32,1,-5305,6937,2.223664360401901
1.6731281280517578,33,1,-3886,4067,2.3334397109229497
1.7181529998779297,34,1,-7214,27,3.137849948581571
1.778200626373291,35,4,5023,-2630,-0.4823421806230102
1.8229963779449463,36,3,5,-2817,-1.5690213907816428
1.8680508136749268,37,2,3159,-1125,-0.3421212506496403
1.928741455078125,38,1,-3473,4123,2.270831088152783
1.9732601642608643,39,2,5238,6733,0.9096400625230002
2.018134593963623,40,2,4676,-6643,-0.9574584807268178
2.078191041946411,41,2,4583,-5319,-0.8595901527734132
2.1232762336730957,42,1,-7566,8144,2.319419225378153
2.168191909790039,43,1,-10964,4653,2.740239719432849
2.228804349899292,44,1,-1604,10487,1.7225713478716784
2.273177146911621,45,1,8671,6050,0.6091995437554005
2.3184573650360107,46,1,9391,2977,0.3069843724802915
2.3787996768951416,47,1,5693,6179,0.8263119766920569
2.423691749572754,48,1,5044,6149,0.8838017216814069
2.4685587882995605,49,1,-1635,6212,1.828159660475504
2.5282342433929443,50,1,-6018,4059,2.548202665208306
2.5741126537323,51,1,-3704,8627,1.9763454464491725
2.618894577026367,52,1,-1177,8410,1.7098456198498702
2.6788768768310547,53,1,-5915,5038,2.4360934216514276
2.723949670791626,54,1,-3382,4187,2.250237927893294
2.768256902694702,55,1,1299,3985,1.2556851798927515
2.8287975788116455,56,0,-4101,-2218,-2.645806402322784
2.8737869262695312,57,1,-143,2590,1.6259526812082108
2.918163537979126,58,1,-1946,4222,2.0026933004507845
2.978191614151001,59,1,3124,6726,1.135977601119968
3.022958755493164,60,1,9246,6077,0.5814600317052697
3.0682663917541504,61,1,10188,-3098,-0.29519865910853427
3.128709316253662,62,1,10541,-10500,-0.7834495892750939
3.1740732192993164,63,1,6798,-8887,-0.9178035292240813
3.218376398086548,64,1,5578,-8430,-0.9862508789850978
3.2787699699401855,65,1,4017,-4359,-0.8262064409703537
3.323021650314331,66,1,723,-8477,-1.4857126295369192
3.369009256362915,67,2,2172,948,0.411540624478391
3.4286386966705322,68,0,-261,1895,1.7076660690284664
3.473707437515259,69,3,48,3603,1.5574748833886416
3.518968343734741,70,3,-2437,2301,2.384890705301095
3.57894229888916,71,1,-94,5216,1.5888158486022619
3.6238107681274414,72,1,4358,-3933,-0.7341825876707432
3.6681196689605713,73,1,6592,-1375,-0.2056376915420217
3.7284348011016846,74,1,5110,-4716,-0.7453219327456679
3.7738802433013916,75,1,7540,-7623,-0.7908719595484333
3.818972587585449,76,1,-559,-4839,-1.685806274956768
3.8793020248413086,77,1,-2849,1932,2.5456939930525007
3.9239425659179688,78,4,5207,-1523,-0.2845535336691665
3.9685091972351074,79,1,-4172,-3711,-2.4146082342730675
4.028170347213745,80,2,1795,3084,1.0436901470833473
4.073268175125122,81,1,-1161,-5905,-1.7649330830859429
4.1182777881622314,82,1,134,-9632,-1.5568852640769353
4.178361177444458,83,1,-507,-11375,-1.6153382751159269
4.223835706710815,84,1,-10931,-2173,-2.9453584925279284
4.2684712409973145,85,1,-4676,11152,1.9678265715279137
4.328811407089233,86,1,9873,-1581,-0.15878562019616274
4.373625993728638,87,0,5306,34,0.006407752480227156
4.418191194534302,88,1,-7255,-54,-3.1341496483759492
4.478823661804199,89,1,-4244,5663,2.213930037910839
4.524053335189819,90,0,-5094,4000,2.4759182582015153
4.568899869918823,91,2,5106,-658,-0.1281616547121452
4.629300355911255,92,0,6024,-6745,-0.8418031451496077
4.673810958862305,93,0,577,-9421,-1.5096265826538862
4.718255996704102,94,0,-147,-4073,-1.6068720015322422
4.778501272201538,95,2,-3656,1854,2.6722719655855145
4.823841333389282,96,2,-2044,670,2.824840587408015
4.868891000747681,97,1,-1278,-2866,-1.9902501904727186
4.92848801612854,98,0,-3457,-5086,-2.167773973492765
4.973778247833252,99,0,5885,-5863,-0.7835255064104601
5.01835560798645,100,0,9383,4522,0.44909178376375863
5.078908205032349,101,0,-3475,8931,1.9418659139907184
5.123864650726318,102,0,-9369,2551,2.8757560968638347
5.1689372062683105,103,0,-8344,-5188,-2.585323632220041
5.2287797927856445,104,0,-469,-7581,-1.6325827712528402
5.273658752441406,105,0,874,-8248,-1.4652252066792608
5.31892728805542,106,0,-1662,-3465,-2.018034794203964
5.378426551818848,107,2,3135,-5832,-1.0775607606856628
5.423978567123413,108,1,-3802,5681,2.1605841355706032
5.468830347061157,109,3,2101,-3117,-0.9777026434967329
5.528626203536987,110,4,-2884,3214,2.302131121207704
5.57407021522522,111,3,2230,-3266,-0.9717126787087639
5.618875980377197,112,4,-4774,-1769,-2.7867300992416135
5.679210662841797,113,4,-4538,-387,-3.056518634144027
5.723002195358276,114,4,-2913,2259,2.4819770355181205
5.7690253257751465,115,1,1224,-2803,-1.159078561438382
