timestamp,frame,range_bin,I,Q,phase,heart_rate_bpm
0.0876500606536865,1,2,-10288,3401,2.8223227595067595,118.2
0.1323690414428711,2,2,8105,-6536,-0.6786407859575865,118.2
0.1771440505981445,3,2,-10742,-2468,-2.9157594631752266,117.9
0.2368488311767578,4,2,-5727,9545,2.1112158270654806,116.5
0.2821412086486816,5,2,-1377,10619,1.699749975345077,115.5
0.3268191814422607,6,2,-1792,9080,1.7656490882601583,114.5
0.3867514133453369,7,2,-7860,-6185,-2.4748933868584118,118.2
0.4326481819152832,8,2,5484,-8626,-1.0045023029050952,118.2
0.4770398139953613,9,2,9096,7136,0.6652307998918772,118.2
0.5375502109527588,10,2,-933,7897,1.6883973021562275,118.2
0.5824780464172363,11,3,-4803,-4781,-2.358489978647968,118.2
0.6273188591003418,12,3,3481,4317,0.8921972269145917,118.2
0.6868886947631836,13,5,2454,1528,0.5569126052974785,117.9
0.7313001155853271,14,2,-4732,5912,2.245784752926942,116.9
0.7770347595214844,15,2,2544,9491,1.3089090353016724,116.0
0.8369302749633789,16,2,1641,8948,1.389418887566672,114.8
0.8813457489013672,17,2,-4479,6403,2.181197285691423,113.9
0.9261674880981444,18,2,-8020,-759,-3.047235281581369,113.0
0.9868080615997314,19,2,-7820,-6121,-2.477467190809476,118.2
1.0306735038757324,20,2,-11018,-3161,-2.862202495544226,118.2
1.0764784812927246,21,2,-3174,11152,1.8480771736613948,118.2
1.136420965194702,22,2,2190,11660,1.3851377052408231,118.2
1.1808338165283203,23,2,-122,12353,1.5806721491601738,118.2
1.2271082401275637,24,2,-6773,9940,2.168921722506512,117.3
1.287389039993286,25,3,8709,3939,0.4247572682826193,116.1
1.3308207988739014,26,3,-1380,6192,1.7900807834651344,115.3
1.3770649433135986,27,0,3633,826,0.2235598789552306,114.5
1.4369173049926758,28,1,-2771,-3670,-2.2175157952848914,118.2
1.481372594833374,29,1,-3746,-2855,-2.4903631326997973,118.2
1.5275883674621582,30,3,-2845,3312,2.2804908153394305,118.2
1.587071657180786,31,3,1044,4639,1.3494357201844327,118.2
1.631235122680664,32,3,4818,2633,0.500146186594985,118.2
1.6777403354644775,33,3,4946,2700,0.4996866361219008,118.2
1.7372987270355225,34,3,4434,4571,0.8006107599011382,117.3
1.78181791305542,35,3,609,6470,1.4769461022662485,116.5
1.827662706375122,36,3,-75,6779,1.581859454122729,115.7
1.886658191680908,37,3,-1097,5949,1.7531486015679536,114.7
1.9309282302856443,38,3,-666,5044,1.702075000261115,118.2
1.976740837097168,39,2,-2370,-4125,-2.092288936539235,118.2
2.036585092544556,40,2,-518,-4373,-1.6887010699731109,118.2
2.081507444381714,41,2,1657,-3714,-1.1511489193327562,118.2
2.1261119842529297,42,2,629,-3440,-1.389945333855324,118.2
2.1866774559021,43,16,-2826,-2812,-2.3586776351418446,118.2
2.2312121391296387,44,2,-5363,-1255,-2.911718315804144,117.6
2.2770707607269287,45,2,-7259,4131,2.624213768000875,116.8
2.3372199535369877,46,2,-6767,7360,2.3142427611482117,115.9
2.381580352783203,47,2,-6269,7211,2.286426605129351,115.2
2.426734209060669,48,2,-630,8463,1.6451009617311283,114.5
2.4867067337036133,49,1,-4319,4183,2.372189362211476,113.5
2.531619071960449,50,0,-4319,-717,-2.9770823298866627,112.8
2.576606273651123,51,18,401,3668,1.461904883572094,112.2
2.6369495391845703,52,3,164,-2975,-1.515726015289998,118.2
2.6816565990448,53,2,3293,3764,0.8520415674718341,118.2
2.727079391479492,54,2,5861,4839,0.6901730209397129,117.8
2.787076473236084,55,2,6803,4463,0.5806054314991931,116.9
2.83229923248291,56,2,7988,2773,0.3341297701574786,116.2
2.877404928207397,57,2,3344,8685,1.2032599086145532,115.5
2.936744213104248,58,2,-3736,8611,1.9801505581039336,114.7
2.981489896774292,59,2,-2315,8737,1.8298094386202903,114.0
3.027139186859131,60,2,9681,3564,0.3527462366878418,113.4
3.0868916511535645,61,2,9539,-3869,-0.3853229653403037,112.5
3.1311516761779785,62,2,6167,-5592,-0.7365383653544639,111.9
3.1772499084472656,63,2,5312,-4919,-0.7470043723581997,111.3
3.236327171325684,64,2,5184,-4933,-0.7605935256299495,110.4
3.282294750213623,65,2,7545,-1050,-0.1382769089039005,109.8
3.3272387981414795,66,2,6306,5774,0.7413868668748071,109.2
3.386693954467773,67,2,-84,9239,1.579887969349745,108.4
3.4312148094177246,68,2,-2279,8717,1.826515686523399,107.9
3.477053642272949,69,2,-663,8910,1.6450702190886002,107.3
3.536229133605957,70,2,130,8278,1.555093341227337,106.5
3.5817437171936035,71,2,-156,7687,1.5910875443400767,113.0
3.627215623855591,72,2,-4668,5985,2.233191455164378,112.4
3.687523126602173,73,2,-6444,4065,2.57881956557959,111.6
3.731048822402954,74,3,5774,-3004,-0.4797264871129123,111.1
3.776982545852661,75,3,3068,-4150,-0.9341932639142934,110.5
3.8368659019470215,76,3,2096,-4068,-1.095030468179255,109.7
3.881668329238892,77,3,1560,-4156,-1.211709267587402,109.2
3.926274299621582,78,3,1373,-4494,-1.2742844376853837,108.6
3.986939668655396,79,2,3454,4314,0.8956597478995095,107.9
