timestamp,frame,range_bin,I,Q,phase,heart_rate_bpm
0.0785632133483886,1,0,-273,165,2.597947358056588,110.1
0.1371080875396728,2,1,-165,-476,-1.9044734970808888,110.1
0.1828589439392089,3,4,165,319,1.0934509444212248,110.1
0.2281477451324463,4,3,253,-134,-0.4870808188802737,110.1
0.2880308628082275,5,3,319,35,0.1092807595518019,110.1
0.333108901977539,6,1,-247,107,2.7327984480902594,110.1
0.3774802684783935,7,0,201,-301,-0.9820274398724096,110.1
0.4382123947143554,8,3,274,-349,-0.9052068362329756,110.1
0.4827785491943359,9,3,162,-254,-1.0030487796844911,110.1
0.5274193286895752,10,0,-153,-232,-2.1538089517994288,110.1
0.5872166156768799,11,1,5,296,1.553906041249692,110.1
0.6328847408294678,12,1,-427,95,2.922675753344538,110.1
0.6776885986328125,13,0,120,-241,-1.1088098458343192,110.1
0.7376956939697266,14,2,203,293,0.9648968016008476,110.1
0.7828984260559082,15,1,-147,-123,-2.4448503720597823,110.1
0.8271410465240479,16,3,-72,-321,-1.7914435094552403,110.1
0.8880541324615479,17,3,164,-264,-1.0149255176407388,110.1
0.9331295490264891,18,2,-195,330,2.104504518434158,110.1
0.9772577285766602,19,4,278,39,0.139378168243787,110.1
1.0370814800262451,20,3,-302,-222,-2.50769637216062,110.1
1.0829050540924072,21,3,-171,-335,-2.042767168084403,110.1
1.1285130977630615,22,4,-241,238,2.3624574563200125,110.1
1.1876676082611084,23,3,-151,-286,-2.056570338055496,110.1
1.2326571941375732,24,3,-259,-153,-2.608014551711733,110.1
1.277461290359497,25,4,197,285,0.965981856561429,110.1
1.337690830230713,26,4,279,247,0.7246365488541361,110.1
1.3824200630187988,27,0,-275,-229,-2.447212159130954,110.1
1.427375316619873,28,0,115,-433,-1.311200404873059,110.1
1.487576246261597,29,0,96,-406,-1.3386076638832325,110.1
1.5326621532440186,30,0,-129,-339,-1.934407230321528,110.1
1.577487230300903,31,0,-293,101,2.809638371699197,110.1
1.6372663974761963,32,0,-159,219,2.1987776174657543,109.8
1.6828293800354004,33,0,-191,205,2.320855672939693,109.0
1.7269649505615234,34,1,267,-75,-0.2738420362271427,108.3
1.7871966361999512,35,0,-105,207,2.0402242182393646,107.3
1.83257794380188,36,0,-58,198,1.855753677045051,106.6
1.8778483867645264,37,4,217,-14,-0.0644268394255535,105.9
1.9371647834777832,38,4,211,29,0.1365850195758668,110.1
1.9831337928771973,39,4,230,87,0.3616264454676627,110.1
2.027096509933472,40,0,6,238,1.5455915814679548,110.1
2.0874264240264893,41,0,-3,242,1.5831923860351491,110.1
2.132699489593506,42,0,44,279,1.4143785101826047,110.1
2.177698135375977,43,1,164,-249,-0.9883750606400884,109.9
2.237762689590454,44,1,182,-234,-0.9097531579442096,109.0
2.2830255031585693,45,1,195,-236,-0.8802403766934507,108.3
2.3277063369750977,46,0,-2,319,1.5770658371253818,107.6
2.387835741043091,47,0,-50,336,1.718521791670195,106.7
2.4323787689208984,48,0,-83,333,1.8150682762584969,106.1
2.4774460792541504,49,0,-58,356,1.7322987122562652,105.4
2.5375449657440186,50,0,-49,363,1.7049715271577992,104.6
2.5828444957733154,51,0,-46,337,1.7064564560338606,103.9
2.627443552017212,52,0,-20,336,1.6302499861035535,103.3
2.6874170303344727,53,0,-12,343,1.6057674861918236,102.5
2.7325856685638428,54,0,-17,343,1.620318485813379,101.9
2.7773122787475586,55,0,0,335,1.5707963267948966,101.3
2.8372926712036133,56,0,3,336,1.5618679926150598,100.5
2.8818681240081787,57,1,258,-172,-0.5880026035475675,107.6
2.92708158493042,58,0,7,292,1.5468283147095503,107.0
2.9867918491363525,59,0,-1,279,1.574380540837189,106.2
3.0331547260284424,60,0,5,260,1.5515679276951897,105.6
3.07736873626709,61,0,26,271,1.4751481204777046,105.0
3.137661933898926,62,0,69,254,1.305543944088712,104.2
3.1832082271575928,63,0,87,257,1.244383801510926,103.6
3.2275073528289795,64,1,159,-230,-0.9659302425926704,103.1
3.2873973846435547,65,1,122,-231,-1.0848921195308667,109.6
3.332949161529541,66,1,124,-245,-1.1022627631891888,109.0
3.377294540405273,67,1,158,-210,-0.9257731491617816,108.5
3.437948703765869,68,0,99,222,1.1513188650395356,107.7
3.482940196990967,69,0,109,204,1.080076030190742,107.1
3.5274033546447754,70,0,119,172,0.9655540520527994,106.5
3.5869252681732178,71,0,157,158,0.7885727559074542,105.8
3.6320571899414062,72,1,2,-230,-1.562100893783118,105.2
3.6781005859375,73,0,162,158,0.7728988143780866,104.7
3.736979722976685,74,1,-23,-228,-1.6713334115471168,103.9
3.782536268234253,75,1,-11,-231,-1.61837943007188,103.4
3.827836751937866,76,0,191,146,0.6526522676435522,102.9
3.887348175048828,77,0,204,139,0.5981146184232691,109.0
3.9327993392944336,78,0,210,116,0.5046693593726996,108.4
3.977370262145996,79,0,218,116,0.4890044918589032,107.9
4.037739515304565,80,4,189,183,0.769270529553812,107.2
4.082802057266235,81,0,195,59,0.2938075188738025,106.6
4.127641201019287,82,3,-204,-6,-3.112189365385788,106.1
4.187010765075684,83,4,153,152,0.782119486621196,105.4
4.2328972816467285,84,3,-190,16,3.057580341782298,104.9
4.277477979660034,85,0,180,21,0.1161416268799902,104.4
4.3377673625946045,86,3,-199,44,2.9239881032691817,103.7
4.381961822509766,87,3,-167,178,2.3243212300075933,103.2
4.427405595779419,88,3,-83,168,2.029670702357026,102.7
4.487534284591675,89,0,153,24,0.1555948279770297,102.0
4.532693862915039,90,0,167,14,0.0836367719866308,107.9
4.577218770980835,91,0,174,26,0.1483278341217647,107.4
4.637850761413574,92,0,190,10,0.0525830616109417,106.7
4.683135271072388,93,0,206,3,0.0145620773927385,106.2
4.727479696273804,94,0,202,-13,-0.0642678063480138,105.7
4.787707567214966,95,0,218,-12,-0.0549903752081484,105.1
4.832453489303589,96,1,-181,-154,-2.436617666011777,104.6
4.877347230911255,97,1,-178,-139,-2.478607739606664,104.1
4.937330961227417,98,1,-182,-120,-2.558679064634059,103.5
4.981986284255981,99,1,-198,-123,-2.585721844435635,103.0
5.027055501937866,100,1,-194,-126,-2.5655798831458405,102.5
5.088438510894775,101,1,-213,-86,-2.757852657998631,108.0
5.133285760879517,102,1,-205,-123,-2.601173153319209,108.0
5.17724084854126,103,1,-175,-117,-2.5522725277479195,108.0
5.237804651260376,104,1,-155,-87,-2.6301225923457747,108.0
5.2830212116241455,105,1,-185,-97,-2.6586754813679514,108.0
5.326975584030151,106,1,-167,-93,-2.633477889384714,108.0
5.387287139892578,107,1,-179,-73,-2.7543620742696864,102.0
5.432310342788696,108,1,-185,-55,-2.852617243597227,102.0
5.478062629699707,109,1,-152,-68,-2.7209293044567584,102.0
5.537521123886108,110,1,-165,-99,-2.601173153319209,102.0
5.582600116729736,111,1,-137,-112,-2.4562607569766683,102.0
5.627495527267456,112,1,-172,-109,-2.576746673011308,102.0
5.687179803848267,113,1,-144,-122,-2.4387134446253267,102.0
5.732905626296997,114,1,-114,-143,-2.2438293287491984,102.0
5.777723073959351,115,1,-119,-152,-2.235019857480665,102.0
