timestamp,frame,range_bin,I,Q,phase,heart_rate_bpm
0.0821692943572998,1,9,1094,-1797,-1.0239368731636973,96.0
0.1275684833526611,2,9,1631,-1312,-0.6774269015929048,95.1
0.1875641345977783,3,9,2052,-147,-0.0715152569900918,94.0
0.2317807674407959,4,11,-1684,1093,2.565885644805857,93.2
0.2772114276885986,5,8,-380,1799,1.7789648032058605,92.4
0.3371515274047851,6,9,732,1531,1.1248063447064045,91.3
0.3825840950012207,7,9,-2210,176,3.062122367153435,90.6
0.4269392490386963,8,9,-972,-2288,-1.9725188864203609,89.8
0.4867153167724609,9,9,26,-2507,-1.56042573728517,88.8
0.5324413776397705,10,9,1432,-1907,-0.9267081667439918,88.1
0.576897382736206,11,9,539,-2132,-1.3231707083411337,87.4
0.6366140842437744,12,9,-2187,234,3.0350022875365545,97.2
0.6822795867919922,13,9,-1112,1589,2.1813955698871577,96.4
0.7271337509155273,14,9,1152,-1229,-0.8177262498169325,95.7
0.7870078086853027,15,9,-529,-1486,-1.9127967697692432,94.7
0.8325583934783936,16,9,-255,2223,1.6850069828199503,93.9
0.8777079582214355,17,11,-454,-1309,-1.9046439856507724,93.2
0.937429428100586,18,12,964,-253,-0.2566598061773613,92.2
0.9823708534240724,19,11,2083,500,0.2355812948379604,91.5
1.0268139839172363,20,0,-1865,-1726,-2.39488305635958,90.8
1.0873727798461914,21,11,-94,-2018,-1.617343453799064,89.9
1.1322920322418213,22,11,-1720,-651,-2.7797671974290385,89.3
1.1776039600372314,23,11,1777,-222,-0.1242857328762807,88.6
1.2374591827392578,24,11,-1489,-451,-2.8474885710770783,87.7
1.2827837467193604,25,11,-1234,1667,2.208029436671896,87.1
1.3272874355316162,26,11,1021,1475,0.9653221751063236,86.5
1.38759446144104,27,0,-1238,1399,2.295215954977884,85.6
1.4328575134277344,28,11,-944,-1372,-2.1734547763269765,94.5
1.4772825241088867,29,11,-1794,647,2.79546477618662,93.8
1.5374832153320312,30,11,-1520,1006,2.556937572535118,92.9
1.5823016166687012,31,0,1507,877,0.5270423718411521,92.3
1.6271955966949463,32,0,-110,1534,1.6423817495087276,91.7
1.686924695968628,33,0,-640,1461,1.9836734541711545,90.8
1.7323572635650637,34,0,943,488,0.4775473035063013,90.2
1.7777929306030271,35,11,708,-272,-0.366795189383456,89.6
1.8373699188232424,36,0,289,786,1.218454638529054,88.8
1.8821585178375244,37,11,36,-928,-1.532022665771072,97.1
1.9279558658599851,38,0,-908,257,2.8657675164626326,96.4
1.988053321838379,39,0,-773,-846,-2.3111354482374997,95.6
